id,name,location,phone,description,images,website
1,Bheri Zonal Hospital,Nepalgunj,	081-520039,Bheri Zonal Hospital is the major referral centre with specialties services for Mid-western and far western region of the country (NEPAL).,BheriZonalHospital.jpg,https://bherihospital.gov.np/
2,Lumbini Provincial Hospital,Butwal,071-540200,Lumbini Zonal Hospital is the biggest governmental hospital in Lumbini Zone Nepal. This hospital lies in Butwal city. It is one of the oldest hospital in this region and is backbone for the health service to poor citizens who cannot afford private hospitals.,LumbiniProvincialHospital.jpg,http://lzhospital.gov.np/
3,Nepal Cancer Hospital,Lalitpur,01-5251311,Nepal Cancer Hospital and Research Center (NCHRC) Pvt. Ltd. is the first ever effort from the private sector established to provide the highest quality of state-of-the-art treatment and excellent care to the patients and their families from all around the globe. The hospital will contribute to reduce the burden of cancer increase survival and improve the quality of life of the patients and families; thus emphasis has been given to preventive and palliative oncology.,NepalCancerHospital.jpg,http://nepalcancerhospital.com/
4,Bhaktapur Cancer Hospital,Bhaktapur,01-6611531,Bhaktapur Cancer Hospital is a cancer hospital located in Bhaktapur Bagmati Pradesh Nepal run by the Nepal Cancer Relief Society. The hospital is supported by the Nepalese Government and Rotary International.,BhaktapurCancerHospital.jpg,http://anmf.info/nepal/care/hospitals/bch.htm
5,Sushil Koirala Prakhar Cancer Hospital,Banke District,977-81-690669,Khajura is a historic place of the Banke district. The people of the Khajura and villages next to it are deprived of basic health facilities. Observing their needs Prakhar Paropakar Mission Nepal was registered in 2005 to provide the basic health service in the future. The Mission Nepal is non profitable non governmental organization whose aim is to work for humanity.,SushilCancerHospital.jpg,http://nepalcancerhospital.org/home
6,Civil Service Hospital of Nepal,Kathmandu,01-4106999,The need for such a hospital arose in view of the fact that Nepal Army and Nepal Police employees had hospitals dedicated to them while civil service employees of Nepal Government had none. Thus Nepal Government approached the Peoples Republic of China (PRC) with the request to help build Civil Service Hospital (CSH). An agreement to this effect was signed between the Government of Nepal and PRC . CSH is located at Minbhawan Kathmandu. CSH is an autonomous government institution under the Ministry of General Administration (MoGA).,CivilHospital.jpg,https://www.civilservicehospital.org/
7,Shukraraaj Tropical & Infectious Disease Hospital,Kathmandu,01-4253396,Infectious Disease Hospital (STIDH) is the only Infectious & Tropical Disease Hospital established in 1933 in Kathmandu Nepal. This is the national referral hospital with the capacity 100 beds inpatient service. It receives patients from all over the country and referred patients from the Valley hospitals. It provides training to Undergraduate and Postgraduate medical students . Students from different countries undergo training in Infectious and Tropical Diseases. Nepal is located in South Asia in between China and India. The country is one of the most famous destination for travel for its natural beauty and world famous Himalay's.,TekuHospital.jpg,http://www.stidh.gov.np/
8,Bir Hospital,Kathmandu,01-4221119,Bir Hospital is the oldest and one of the busiest hospitals in Nepal. It is located at the center of Kathmandu city. The hospital is run by the National Academy of Medical Sciences a government agency since 2003. The hospital provides medical and surgical treatments. It current has a capacity of 535 beds.,BirHospital.jpg,https://nams.org.np/index.php
9,Patan Academy of Health Science,Lalitpur,01-5522295,Patan Academy of Health Sciences is an autonomous not-for-profit public institution of higher education established in 2064 B.S. with the charter granted by the Parliament of Nepal.,PatanHospital.jpg,https://www.pahs.edu.np/
10,Gandaki Medical College Teaching Hospital & Research Centre,Pokhara,061-538595,Gandaki Medical College Teaching Hospital and Research Center (GMCTHRC) Pokhara was established in 2007 A.D with the aim of imparting quality medical education to the students from different parts of the world. Presently GMCTHRC is conducting MBBS BDS BSc. Nursing BNS BSc. MIT BSc. MLT BPH BPharmaProgram and also Post Graduate program in different departmentwith the affiliation of TU-Institute of Medicine (IOM).,GMCTeachingHospital.jpg,http://www.gmc.edu.np/
11,Nepal Eye Hospital,Kathmandu,01-4260813,Nepal eye hospital is the first hospital in Nepal dedicated to eye care service established in the year 1973. Before the establishment of this historical hospital eye service was available at Bir Hospital as government owned general hospital with the few beds provided by the Government of Nepal.,NepalEyeHospital.jpg,http://www.nepaleyehospital.org/
12,Tilganga Eye Hospital,Kathmandu,01-4493683,Tilganga Institute of Ophthalmology formerly called the Tilganga Eye Centre in Nepal is the implementing body of the Nepal Eye Program a non-profit community based non-government organization launched in 1992. The current facility was opened in 1994.,TilgangaEyeHospital.jpg,http://tilganga.org/
13,Dristi Eye Care Center,Kathmandu,01-5224352,Drishti Eye Care System was initiated and established by a group of experienced enthusiastic dedicated and devoted ophthalmic human resources with a mission to provide the most advanced sophisticated and comprehensive super specialty eye care services to the needy at an affordable price in different parts of Nepal.,DristiEyeCenter.jpg,https://www.drishtieye.org/
14,Geta Eye Hospital,Attariya,977-91-575112,Geta Eye Hospital was established with the financial support from NORAD Norway in 1981 and it became fully operational from November 1982. Right now It is one of the financially self-sustained hospital with appreciable patient care.,GetaEyeHospital.jpg,https://www.nnjs.org.np/shows/pag/geta-eye-hospital
15,National Trauma Center,Kathmandu,01-4226933,Understanding the need for quality Trauma care and Trauma relief centre in Nepal National Trauma Centre was established as the first and only Trauma Hospital of Nepal. It has provided its undivided attention and services to patients at the time of Massive Earthquake (2015) of Nepal.It is well prepared for mass causality of trauma victims.,NationalTraumaCenter.jpg,http://nationaltraumacenter.gov.np/
16,Nobel Medical College (Teaching Hospital private limited),Kathmandu,01-4441079,Nobel Medical College Teaching Hospital (P) Ltd. an affiliated to Kathmandu University was founded in 2004. It is located in Biratnagar one of the major academic hubs of eastern part of Nepal. Its key objective is to impart international standard medical education to the meritorious students of Nepal and abroad enrolled for both medical and paramedical courses.,NobelMedicalCollege.jpg,http://www.nobelmedicalcollege.com.np/
17,Sahid Gangalal National Heart Center,Kathmandu,01-4371322,Shahid Gangalal National Heart Centre is a hospital which provides cardiac care diagnostic and treatment procedures in Kathmandu Nepal. The hospital is named after Gangalal Shrestha. It is the first cardiac tertiary center in Nepal.,Gangalal.jpg,https://www.sgnhc.org.np/
18,Vayodha Hospital,Kathmandu,01-4286428,Vayodhameans possessinggood health in Sanskrit! We believe every human being is an author of his/her own health and in this journey of life we would like to be your trusted companion. For us Patient Care supersedes all other aspects. We emphasize on quality care  round the clock! Where in symbol of Vayodha V symbolizes caring hands and the Green droplet symbolizes Life.,Vayodha.jpg,https://www.vayodhahospitals.com/
19,Human Organ Transplant Center,Bhaktapur,01-6614709,Shahid Dharmabhakta National transplant Center- SDNTC (Human Organ Transplant Center- HOTC) is situated at Dudhpati-17 Bhaktapur a beautiful and a serene place at the distance of 12 kilometers from Kathmandu. It was established in 2012 by the Ministry of Health to strengthen and expand organ transplantation services in the country.,HumanOrgan.jpg,https://hotc.org.np/
20,Dhulikhel Hospital,Dhulikhel,011-490486,Dhulikhel Hospital a Kathmandu University hospital is an independent not for profit non-government hospital in Dhulikhel Kavrepalanchok Nepal.,DhulikhelHospital.jpg,https://www.dhulikhelhospital.org/
21,Alka Hospital,Lalitpur,01-5555555,The history of private hospital in Nepal dates back to late 1980's .After the people's popular movement 1990 AD. There was mushrooming of private hospitals or nursing homes. Nearing to people popular movement 2062 BS (April 2006 AD) There was sprouting yet another hospital Called Alka Hospital in the heart of the lalitpur district .Question is : Is the hospital different from others ? Or why do people from valley need additional Hospital like this ?,AlkaHospital.jpg,http://www.alkahospital.com/
22,Grande International Hospital,Kathmandu,01-5159266,Grande International Hospital was created with the vision to fill an existing void in the Nepali healthcare industry. It is dedicated to the seamless delivery of quality patient-centric healthcarewhich means supplying everything a patient may need from acute critical care to rehabilitation to transitional care to home healthcare servicesat an affordable cost.,GrandeHospital.jpg,http://www.grandehospital.com/
23,T.U Teaching Hospital,Kathmandu,01-4412302,Tribhuvan University Teaching Hospital is a premier hospital in Nepal established in year 1982 with a 300 bed facility. At present with 700-bed facility this hospital is the site of teaching and research activities for Institute of Medicine (IOM).The Hospital is primarily a teaching and training hospital for the undergraduates (MBBS) the postgraduate (MD/MS/MDS) the super specialty students (DM/Mch Students) BDS research scholars B.Sc nursing & training of medical staffs.,TeachingHospital.jpg,http://www.iom.edu.np/
24,B.P Koirala Institute of Health Science,Kathmandu,977-25-525555,B.P. Koirala Institute of Health Sciences (BPKIHS) was established on Jan 18 1993 and subsequently upgraded as an autonomous Health Sciences University on Oct 28 1998 with a mandate to work towards developing socially responsible and competent health workforce providing health care & involving in innovative health research.,BPHospital.jpg,http://www.bpkihs.edu/
25,Chitwan Medical College Teaching Hospital,Bharatpur,985-5055155,"Offer world class medical education.
Provide patients centered quality healthcare services with state of art facilities.
Enhance research culture in par with national and international contemporaries.
Become Nepals leading partnership in medical education.
Promote self-sustainability of institution.",CMCHospital.jpg,http://www.cmc.edu.np/